Borough,Neighbourhood,City,Latitude,Longitude,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
Bronx,Wakefield,1,40.89470518,-73.84720052,1,Pharmacy,Caribbean Restaurant,Fried Chicken Joint,Supermarket,Gas Station,Fast Food Restaurant,Donut Shop,Chinese Restaurant,Pizza Place,Bakery
Bronx,Co-op City,1,40.87429419,-73.82993911,1,Department Store,Pizza Place,Mobile Phone Shop,Chinese Restaurant,Shopping Mall,Shoe Store,Baseball Field,Bakery,Mexican Restaurant,Furniture / Home Store
Bronx,Eastchester,1,40.88755568,-73.82780645,1,Caribbean Restaurant,Shopping Mall,Fast Food Restaurant,Deli / Bodega,Diner,Asian Restaurant,Donut Shop,Supermarket,Sandwich Place,Supplement Shop
Bronx,Fieldston,1,40.89543743,-73.9056426,1,Bus Station,Pizza Place,Bar,Bank,Playground,Plaza,Deli / Bodega,Sandwich Place,Mexican Restaurant,General Eating
Bronx,Riverdale,1,40.89083449,-73.91258546,1,Pizza Place,Bank,Bar,Diner,Coffee Shop,Bagel Shop,Park,Plaza,Playground,Japanese Restaurant
Bronx,Kingsbridge,1,40.88168737,-73.90281799,1,Pizza Place,Mexican Restaurant,Bar,Donut Shop,Coffee Shop,Diner,Sandwich Place,Bank,Supermarket,Japanese Restaurant
Manhattan,Marble Hill,1,40.87655078,-73.91065966,1,Park,Pizza Place,Sandwich Place,Donut Shop,Supermarket,Spanish Restaurant,Bus Station,Café,Mexican Restaurant,Supplement Shop
Bronx,Woodlawn,1,40.89827261,-73.86731497,1,Bar,Pub,Deli / Bodega,Discount Store,Bank,Baseball Field,Pharmacy,Pizza Place,Donut Shop,Italian Restaurant
Bronx,Norwood,1,40.87722416,-73.87939074,1,Pizza Place,Bank,Donut Shop,Supermarket,Chinese Restaurant,Park,Pharmacy,Fast Food Restaurant,Sandwich Place,Diner
Bronx,Williamsbridge,1,40.88103888,-73.85744643,1,Pizza Place,Caribbean Restaurant,Deli / Bodega,Sandwich Place,Discount Store,Spa,Fast Food Restaurant,Bus Station,Bakery,Construction & Landscaping
Bronx,Baychester,1,40.86685811,-73.8357976,1,Bus Station,Clothing Store,Department Store,Discount Store,Pharmacy,Sandwich Place,Donut Shop,Chinese Restaurant,Shopping Mall,Pizza Place
Bronx,Pelham Parkway,1,40.8574135,-73.85475564,1,Pizza Place,Deli / Bodega,Donut Shop,Chinese Restaurant,Bakery,Italian Restaurant,Sandwich Place,Bank,Supermarket,Coffee Shop
Bronx,City Island,1,40.8472467,-73.78648845,2,Seafood Restaurant,Harbor / Marina,Italian Restaurant,Boat or Ferry,American Restaurant,Bar,Thrift / Vintage Store,History Museum,Bank,Chinese Restaurant
Bronx,Bedford Park,1,40.87018516,-73.88551218,1,Pizza Place,Park,Baseball Field,Diner,Supermarket,Sandwich Place,Bank,Pharmacy,Donut Shop,Deli / Bodega
Bronx,University Heights,1,40.85572708,-73.91041596,1,Grocery Store,Pizza Place,Donut Shop,Supermarket,Spanish Restaurant,Ice Cream Shop,Latin American Restaurant,Fast Food Restaurant,Fried Chicken Joint,Bank
Bronx,Morris Heights,1,40.84789793,-73.91967159,1,Deli / Bodega,Pizza Place,Supermarket,Pharmacy,Food Truck,Grocery Store,Gym / Fitness Center,General Eating,Fast Food Restaurant,Chinese Restaurant
Bronx,Fordham,1,40.8609968,-73.89642656,1,Italian Restaurant,Pizza Place,Spanish Restaurant,Coffee Shop,Mobile Phone Shop,Deli / Bodega,Diner,Supplement Shop,Park,Shoe Store
Bronx,East Tremont,1,40.84269616,-73.88735618,1,Pizza Place,Fast Food Restaurant,Donut Shop,Park,Supermarket,Shoe Store,Sandwich Place,Zoo Exhibit,Bank,Lounge
Bronx,West Farms,1,40.83947506,-73.87774475,1,Pizza Place,Donut Shop,Park,Zoo,Zoo Exhibit,Lounge,Discount Store,Sandwich Place,Shoe Store,Fast Food Restaurant
Bronx,High  Bridge,1,40.83662301,-73.92610209,2,Lounge,Baseball Stadium,Plaza,Historic Site,Park,Sandwich Place,Gym,Liquor Store,Track Stadium,Track
Bronx,Melrose,1,40.81975437,-73.90942161,1,Mexican Restaurant,Pizza Place,Sandwich Place,Donut Shop,Pharmacy,Supermarket,Kids Store,Mobile Phone Shop,Gym,Fried Chicken Joint
Bronx,Mott Haven,1,40.80623875,-73.91609987,1,Pizza Place,Mexican Restaurant,Donut Shop,Grocery Store,Discount Store,Gym,Fast Food Restaurant,Mobile Phone Shop,Park,Coffee Shop
Bronx,Port Morris,1,40.80166363,-73.91322139,1,Baseball Field,Donut Shop,Cupcake Shop,Pizza Place,Latin American Restaurant,Grocery Store,Pharmacy,Peruvian Restaurant,Tunnel,Chinese Restaurant
Bronx,Longwood,1,40.81509905,-73.8957882,1,Fast Food Restaurant,Donut Shop,Pharmacy,Grocery Store,Mexican Restaurant,Sandwich Place,Latin American Restaurant,Discount Store,Chinese Restaurant,Pizza Place
Bronx,Hunts Point,1,40.80972988,-73.88331506,2,Seafood Restaurant,General Eating,Park,Bakery,Bank,Gym / Fitness Center,Pizza Place,Travel & Transport,BBQ Joint,Market
Bronx,Morrisania,1,40.82359199,-73.90150649,1,Fast Food Restaurant,Pharmacy,Mexican Restaurant,Donut Shop,Sandwich Place,Discount Store,Gym,Grocery Store,Supermarket,Mobile Phone Shop
Bronx,Soundview,1,40.8210122,-73.8657461,1,Supermarket,Fried Chicken Joint,Fast Food Restaurant,Park,Breakfast Spot,Clothing Store,Donut Shop,Bus Stop,Chinese Restaurant,Mobile Phone Shop
Bronx,Clason Point,1,40.80655112,-73.85414416,2,Discount Store,Boat or Ferry,Park,Wings Joint,Pool,Gym / Fitness Center,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant
Bronx,Throgs Neck,1,40.81510926,-73.81635002,1,Italian Restaurant,Deli / Bodega,Coffee Shop,Pizza Place,Donut Shop,Park,Asian Restaurant,Harbor / Marina,General Eating,Pub
Bronx,Country Club,1,40.84424594,-73.82409927,1,Italian Restaurant,Sandwich Place,Deli / Bodega,Bakery,Bank,Pizza Place,Chinese Restaurant,Donut Shop,Dive Bar,Pharmacy
Bronx,Parkchester,1,40.83793782,-73.85600311,1,Pizza Place,Supermarket,Spanish Restaurant,Sandwich Place,Donut Shop,Bank,Latin American Restaurant,Caribbean Restaurant,Diner,Gym
Bronx,Westchester Square,1,40.8406195,-73.84219408,1,Pizza Place,Donut Shop,Bar,Sandwich Place,Fast Food Restaurant,Pharmacy,Food Truck,Gym / Fitness Center,Spanish Restaurant,Diner
Bronx,Van Nest,1,40.84360847,-73.86629918,1,Supermarket,Pizza Place,Park,Playground,Spanish Restaurant,Deli / Bodega,Donut Shop,Cosmetics Shop,Zoo,Bus Station
Bronx,Morris Park,1,40.84754906,-73.85040178,1,Pizza Place,Sandwich Place,Pharmacy,Italian Restaurant,Bank,Donut Shop,Gym,Coffee Shop,Cosmetics Shop,Bar
Bronx,Belmont,1,40.8572771,-73.88845196,1,Italian Restaurant,Pizza Place,Deli / Bodega,Bakery,Shoe Store,Zoo,Dessert Shop,Café,Latin American Restaurant,Clothing Store
Bronx,Spuyten Duyvil,1,40.88139498,-73.91719048,1,Park,Pizza Place,Pharmacy,Café,Mexican Restaurant,Bank,Sandwich Place,Diner,Thai Restaurant,Japanese Restaurant
Bronx,North Riverdale,1,40.90854283,-73.90453055,1,Pizza Place,Sandwich Place,Burger Joint,Italian Restaurant,Coffee Shop,Deli / Bodega,Bank,Grocery Store,Bus Station,Pool
Bronx,Pelham Bay,1,40.85064141,-73.83207378,1,Italian Restaurant,Donut Shop,Convenience Store,Pizza Place,Fast Food Restaurant,Bakery,Bank,Sandwich Place,Rental Car Location,Gym / Fitness Center
Bronx,Schuylerville,1,40.82657952,-73.82620276,1,American Restaurant,Italian Restaurant,Pizza Place,Diner,Pharmacy,Fast Food Restaurant,Mexican Restaurant,Bar,Donut Shop,Shoe Store
Bronx,Edgewater Park,1,40.82198612,-73.81388514,1,Italian Restaurant,Pizza Place,Deli / Bodega,Bar,Coffee Shop,Donut Shop,Sandwich Place,Diner,Pharmacy,Chinese Restaurant
Bronx,Castle Hill,1,40.81901438,-73.8480273,1,Deli / Bodega,Baseball Field,Bank,Bus Stop,Diner,Pizza Place,Mexican Restaurant,Liquor Store,Trail,Photography Studio
Bronx,Olinville,1,40.87137078,-73.86332362,1,Pizza Place,Fast Food Restaurant,Sandwich Place,Donut Shop,Bus Station,Supermarket,Convenience Store,Pharmacy,Caribbean Restaurant,General Eating
Bronx,Pelham Gardens,1,40.86296562,-73.84161195,1,Donut Shop,Deli / Bodega,Pharmacy,Sandwich Place,Pizza Place,Rental Car Location,Caribbean Restaurant,Grocery Store,Discount Store,Hardware Store
Bronx,Concourse,1,40.83428381,-73.91558942,1,Pizza Place,Sandwich Place,Bus Station,Donut Shop,Gym,Fast Food Restaurant,Deli / Bodega,Park,Pharmacy,Discount Store
Bronx,Unionport,1,40.8297743,-73.85053524,1,Pizza Place,Supermarket,Mobile Phone Shop,Spanish Restaurant,Sandwich Place,Bus Station,Diner,Deli / Bodega,Donut Shop,Cosmetics Shop
Bronx,Edenwald,1,40.8845613,-73.84808272,1,Fast Food Restaurant,Pizza Place,Caribbean Restaurant,Supermarket,Donut Shop,Convenience Store,Sandwich Place,Chinese Restaurant,Fried Chicken Joint,Pharmacy
Brooklyn,Bay Ridge,1,40.62580107,-74.03062069,2,Spa,Pizza Place,Italian Restaurant,Greek Restaurant,Cosmetics Shop,Chinese Restaurant,Coffee Shop,American Restaurant,Bagel Shop,Bar
Brooklyn,Bensonhurst,1,40.6110089,-73.99517998,1,Bank,Pizza Place,Bakery,Donut Shop,Pharmacy,Italian Restaurant,Chinese Restaurant,Japanese Restaurant,Sushi Restaurant,Bagel Shop
Brooklyn,Sunset Park,1,40.64510295,-74.01031619,1,Bakery,Mexican Restaurant,Pizza Place,Chinese Restaurant,Bank,Latin American Restaurant,Vietnamese Restaurant,Sandwich Place,Café,Asian Restaurant
Brooklyn,Greenpoint,1,40.73020098,-73.95424093,2,Bar,Cocktail Bar,Coffee Shop,Café,Pizza Place,Yoga Studio,French Restaurant,Bakery,Thrift / Vintage Store,Polish Restaurant
Brooklyn,Gravesend,1,40.59526001,-73.97347088,1,Pizza Place,Chinese Restaurant,Bakery,Donut Shop,Lounge,Bagel Shop,Pool Hall,Bank,Bar,Pharmacy
Brooklyn,Brighton Beach,1,40.57682507,-73.96509449,2,Beach,General Eating,Bakery,Grocery Store,Russian Restaurant,Sushi Restaurant,Aquarium,Pharmacy,Supermarket,Eastern European Restaurant
Brooklyn,Sheepshead Bay,1,40.58689013,-73.9431864,2,Italian Restaurant,Sushi Restaurant,Russian Restaurant,Café,Sandwich Place,Turkish Restaurant,Pizza Place,Bank,Grocery Store,Seafood Restaurant
Brooklyn,Manhattan Terrace,1,40.61443251,-73.95743841,1,Pizza Place,Bank,Pharmacy,Donut Shop,Bagel Shop,Sushi Restaurant,Fast Food Restaurant,Grocery Store,Mobile Phone Shop,Gym / Fitness Center
Brooklyn,Flatbush,1,40.63632589,-73.95840107,2,Caribbean Restaurant,Pizza Place,Coffee Shop,Mexican Restaurant,Bar,General Eating,Ice Cream Shop,Café,Mobile Phone Shop,Health Food Store
Brooklyn,Crown Heights,1,40.67082918,-73.94329119,2,Café,Pizza Place,Caribbean Restaurant,Grocery Store,Coffee Shop,Bagel Shop,Southern / Soul Food Restaurant,Bakery,Japanese Restaurant,Deli / Bodega
Brooklyn,East Flatbush,1,40.64171777,-73.93610256,1,Caribbean Restaurant,Discount Store,Supermarket,Grocery Store,General Eating,Furniture / Home Store,Music Venue,Park,Moving Target,Liquor Store
Brooklyn,Kensington,1,40.64238196,-73.98042111,1,Pizza Place,Thai Restaurant,Grocery Store,Café,Gas Station,Ice Cream Shop,Deli / Bodega,Mexican Restaurant,Spa,Pharmacy
Brooklyn,Windsor Terrace,1,40.65694584,-73.9800734,2,Café,Park,Italian Restaurant,Diner,Bar,Coffee Shop,Deli / Bodega,Wine Shop,Playground,Pizza Place
Brooklyn,Prospect Heights,1,40.67682226,-73.96485924,2,Bar,Wine Shop,Ice Cream Shop,American Restaurant,Sushi Restaurant,Café,Bakery,Cocktail Bar,Coffee Shop,Pizza Place
Brooklyn,Brownsville,1,40.66394994,-73.91023536,1,Pizza Place,Discount Store,Mobile Phone Shop,Sandwich Place,Caribbean Restaurant,Park,Supermarket,Fried Chicken Joint,Plaza,Donut Shop
Brooklyn,Williamsburg,1,40.70714439,-73.95811529,2,Bar,Coffee Shop,Pizza Place,Wine Bar,American Restaurant,Yoga Studio,Breakfast Spot,Chinese Restaurant,Cocktail Bar,Salon / Barbershop
Brooklyn,Bushwick,1,40.69811611,-73.92525797,2,Bar,Coffee Shop,Pizza Place,Mexican Restaurant,Latin American Restaurant,Cocktail Bar,Deli / Bodega,Café,Bagel Shop,Thrift / Vintage Store
Brooklyn,Bedford Stuyvesant,1,40.68723161,-73.94178489,2,Coffee Shop,Café,Bar,Caribbean Restaurant,Wine Shop,Pizza Place,Chinese Restaurant,Deli / Bodega,General Eating,Mexican Restaurant
Brooklyn,Brooklyn Heights,1,40.69586372,-73.99378225,2,Park,Yoga Studio,Italian Restaurant,Wine Shop,Pier,Pizza Place,Bar,Coffee Shop,Grocery Store,American Restaurant
Brooklyn,Cobble Hill,1,40.68791972,-73.99856139,2,Bar,Italian Restaurant,Cocktail Bar,Pizza Place,Yoga Studio,Bakery,Ice Cream Shop,Wine Shop,Bookstore,Cosmetics Shop
Brooklyn,Carroll Gardens,1,40.68054023,-73.99465373,2,Italian Restaurant,Coffee Shop,Bar,Wine Shop,Pizza Place,Ice Cream Shop,Bakery,Wine Bar,Spa,Food & Drink Shop
Brooklyn,Red Hook,1,40.67625323,-74.01275897,2,Bar,Park,Art Gallery,Seafood Restaurant,American Restaurant,Wine Shop,Food Truck,Bagel Shop,Ice Cream Shop,Flower Shop
Brooklyn,Gowanus,1,40.67393114,-73.99444087,2,Bar,Mexican Restaurant,Wine Shop,Coffee Shop,Italian Restaurant,Pizza Place,Park,Cocktail Bar,Food Truck,Brewery
Brooklyn,Fort Greene,1,40.68852726,-73.97290574,2,Italian Restaurant,Coffee Shop,Pizza Place,Bar,Performing Arts Venue,Cocktail Bar,Flower Shop,Playground,Lounge,Sandwich Place
Brooklyn,Park Slope,1,40.67232052,-73.9770503,2,Coffee Shop,American Restaurant,Bakery,Spa,Bagel Shop,Bar,Gym / Fitness Center,Frozen Yogurt Shop,Grocery Store,Bookstore
Brooklyn,Cypress Hills,1,40.68239101,-73.87661596,1,Latin American Restaurant,Fast Food Restaurant,Donut Shop,Fried Chicken Joint,Chinese Restaurant,Discount Store,Pizza Place,Ice Cream Shop,Metro Station,Grocery Store
Brooklyn,East New York,1,40.6699257,-73.88069864,1,Pizza Place,Sandwich Place,Supermarket,Chinese Restaurant,Fried Chicken Joint,Video Game Store,Pharmacy,Bakery,Caribbean Restaurant,Market
Brooklyn,Starrett City,1,40.64758905,-73.8793697,1,Pizza Place,Mobile Phone Shop,Department Store,Chinese Restaurant,Women's Store,Furniture / Home Store,Deli / Bodega,Kids Store,Discount Store,Shoe Store
Brooklyn,Canarsie,1,40.63556433,-73.9020927,1,Caribbean Restaurant,Pizza Place,Video Game Store,Bank,Pharmacy,Mexican Restaurant,Shop & Service,Bagel Shop,Chinese Restaurant,Cosmetics Shop
Brooklyn,Flatlands,1,40.63044604,-73.92911303,1,Caribbean Restaurant,Supermarket,Discount Store,Pharmacy,Chinese Restaurant,Mobile Phone Shop,Park,Lounge,Donut Shop,Pizza Place
Brooklyn,Mill Island,1,40.60633642,-73.90818572,2,Harbor / Marina,Gym,Food Truck,Sandwich Place,Gym Pool,Chinese Restaurant,Burger Joint,Bakery,Hardware Store,Golf Course
Brooklyn,Manhattan Beach,1,40.5779135,-73.94353723,2,Italian Restaurant,Turkish Restaurant,Café,Eastern European Restaurant,General Eating,Seafood Restaurant,Sandwich Place,Dessert Shop,Harbor / Marina,Russian Restaurant
Brooklyn,Coney Island,1,40.57429256,-73.98868296,1,Theme Park Ride / Attraction,Theme Park,Pizza Place,Beach,Hot Dog Joint,Mobile Phone Shop,Deli / Bodega,Sandwich Place,Caribbean Restaurant,Bus Station
Brooklyn,Bath Beach,1,40.5995187,-73.99875221,1,Pizza Place,Japanese Restaurant,Chinese Restaurant,Bank,Bakery,Donut Shop,Coffee Shop,Bubble Tea Shop,Cantonese Restaurant,Sushi Restaurant
Brooklyn,Borough Park,1,40.63313051,-73.99049823,1,Pizza Place,Bank,Pharmacy,Bakery,General Eating,Deli / Bodega,Coffee Shop,Kids Store,Sandwich Place,Supermarket
Brooklyn,Dyker Heights,1,40.61921946,-74.01931376,1,Bagel Shop,Pizza Place,Bakery,Cosmetics Shop,Bar,Middle Eastern Restaurant,Gym / Fitness Center,Sandwich Place,Chinese Restaurant,Pharmacy
Brooklyn,Gerritsen Beach,1,40.59084843,-73.93010171,1,Donut Shop,Bar,Deli / Bodega,Pizza Place,Sandwich Place,Bagel Shop,Ice Cream Shop,Italian Restaurant,Russian Restaurant,Convenience Store
Brooklyn,Marine Park,1,40.60974778,-73.93134404,1,Clothing Store,Pharmacy,Sandwich Place,Shoe Store,Cosmetics Shop,Diner,Furniture / Home Store,Mobile Phone Shop,Bakery,Pizza Place
Brooklyn,Clinton Hill,1,40.69322942,-73.96784306,2,Italian Restaurant,Pizza Place,Wine Shop,Coffee Shop,Mexican Restaurant,Yoga Studio,Playground,Thai Restaurant,Cocktail Bar,New American Restaurant
Brooklyn,Sea Gate,1,40.57637538,-74.00787311,1,Beach,Fried Chicken Joint,Home Service,Park,Spa,Pharmacy,Basketball Court,Chinese Restaurant,Pizza Place,Donut Shop
Brooklyn,Downtown,1,40.69084402,-73.98346337,2,Coffee Shop,Bakery,Bar,Gym / Fitness Center,Sandwich Place,Grocery Store,Burger Joint,Furniture / Home Store,Arts & Crafts Store,Middle Eastern Restaurant
Brooklyn,Boerum Hill,1,40.68568291,-73.98374824,2,Bar,Coffee Shop,Cocktail Bar,Dance Studio,Grocery Store,Bakery,Bookstore,Gym / Fitness Center,Gift Shop,Sushi Restaurant
Brooklyn,Prospect Lefferts Gardens,1,40.65842002,-73.95489867,1,Caribbean Restaurant,Pizza Place,Café,Bakery,Wine Shop,Italian Restaurant,Bagel Shop,Liquor Store,Pharmacy,Sandwich Place
Brooklyn,Ocean Hill,1,40.67840255,-73.91306832,1,Fried Chicken Joint,Discount Store,Café,Donut Shop,Playground,Fast Food Restaurant,Pharmacy,Mexican Restaurant,Supermarket,Coffee Shop
Brooklyn,City Line,1,40.67856996,-73.86797598,1,Pizza Place,Supermarket,Chinese Restaurant,Fried Chicken Joint,Fast Food Restaurant,Donut Shop,Latin American Restaurant,Grocery Store,Metro Station,South American Restaurant
Brooklyn,Bergen Beach,1,40.61514955,-73.89855634,1,Donut Shop,American Restaurant,Italian Restaurant,Supermarket,Athletics & Sports,Pizza Place,Stables,Peruvian Restaurant,Deli / Bodega,Fabric Shop
Brooklyn,Midwood,1,40.6255959,-73.95759523,1,Pizza Place,Café,Bagel Shop,Bank,Ice Cream Shop,Gift Shop,Rental Car Location,Supermarket,Sushi Restaurant,Bakery
Brooklyn,Prospect Park South,1,40.6470086,-73.96261317,2,Caribbean Restaurant,Grocery Store,Mexican Restaurant,Pizza Place,Coffee Shop,Bar,Latin American Restaurant,Indian Restaurant,Wine Shop,Park
Brooklyn,Georgetown,1,40.62384524,-73.91607484,1,Supermarket,Chinese Restaurant,Bank,Donut Shop,Italian Restaurant,Gym,Deli / Bodega,Pizza Place,Pharmacy,American Restaurant
Brooklyn,East Williamsburg,1,40.70849241,-73.93885815,2,Coffee Shop,Bar,Cocktail Bar,Bakery,Concert Hall,Café,Thrift / Vintage Store,Italian Restaurant,Mexican Restaurant,Deli / Bodega
Brooklyn,North Side,1,40.71482291,-73.95880858,2,Coffee Shop,Pizza Place,Yoga Studio,American Restaurant,Wine Bar,Jewelry Store,Bookstore,South American Restaurant,Seafood Restaurant,Juice Bar
Brooklyn,South Side,1,40.71086147,-73.95800095,2,Bar,Pizza Place,American Restaurant,Coffee Shop,Wine Bar,Cocktail Bar,Yoga Studio,Salon / Barbershop,Mediterranean Restaurant,Mexican Restaurant
Brooklyn,Ocean Parkway,1,40.61305977,-73.96836678,1,Fast Food Restaurant,Pharmacy,Donut Shop,Grocery Store,Bank,Steakhouse,Italian Restaurant,Sushi Restaurant,Gym / Fitness Center,Café
Brooklyn,Fort Hamilton,1,40.61476813,-74.03197915,1,Pizza Place,Bar,Bagel Shop,Spa,Italian Restaurant,Japanese Restaurant,Gym / Fitness Center,Bakery,Department Store,Middle Eastern Restaurant
Manhattan,Chinatown,1,40.71561842,-73.99427936,2,Café,Sandwich Place,Cocktail Bar,Wine Bar,Ice Cream Shop,Coffee Shop,Bakery,Spa,Thai Restaurant,Chinese Restaurant
Manhattan,Washington Heights,1,40.85190253,-73.93690028,2,Latin American Restaurant,Pizza Place,Park,Spanish Restaurant,Grocery Store,Bakery,Café,Mexican Restaurant,Deli / Bodega,Mobile Phone Shop
Manhattan,Inwood,1,40.86768396,-73.92121042,2,Latin American Restaurant,Mexican Restaurant,Café,Wine Bar,Deli / Bodega,General Eating,Spanish Restaurant,Bakery,Lounge,Pizza Place
Manhattan,Hamilton Heights,1,40.82360428,-73.94968792,2,Coffee Shop,Bar,Park,Café,Mexican Restaurant,Deli / Bodega,Sushi Restaurant,Cocktail Bar,American Restaurant,Ethiopian Restaurant
Manhattan,Manhattanville,1,40.81693443,-73.95738539,2,Park,Mexican Restaurant,Italian Restaurant,Café,American Restaurant,Theater,Tennis Court,Seafood Restaurant,Coffee Shop,Lounge
Manhattan,Central Harlem,1,40.81597607,-73.94321113,2,Southern / Soul Food Restaurant,African Restaurant,Café,French Restaurant,Bar,Sushi Restaurant,Seafood Restaurant,Cocktail Bar,American Restaurant,Coffee Shop
Manhattan,East Harlem,1,40.79224947,-73.94418223,2,Mexican Restaurant,Café,Bakery,Pizza Place,Deli / Bodega,Thai Restaurant,Plaza,Latin American Restaurant,Coffee Shop,Cocktail Bar
Manhattan,Upper East Side,1,40.77563857,-73.96050763,2,Exhibit,Italian Restaurant,Bakery,Gym / Fitness Center,Coffee Shop,Yoga Studio,Art Museum,French Restaurant,Salad Place,Art Gallery
Manhattan,Yorkville,1,40.77592985,-73.94711784,2,Italian Restaurant,Gym,Coffee Shop,Pizza Place,Ice Cream Shop,Wine Shop,Deli / Bodega,Japanese Restaurant,Bar,Vietnamese Restaurant
Manhattan,Lenox Hill,1,40.76811266,-73.95885969,2,Sushi Restaurant,Italian Restaurant,Coffee Shop,Gym / Fitness Center,French Restaurant,Gym,Pizza Place,Women's Store,Bakery,Sporting Goods Shop
Manhattan,Roosevelt Island,1,40.76215961,-73.94916769,2,Park,Sushi Restaurant,Coffee Shop,Café,Greek Restaurant,Pizza Place,Deli / Bodega,Cocktail Bar,Italian Restaurant,Mexican Restaurant
Manhattan,Upper West Side,1,40.787658,-73.97705924,2,Italian Restaurant,Wine Bar,Bakery,Park,Ice Cream Shop,Indian Restaurant,Café,Coffee Shop,Gym / Fitness Center,Cosmetics Shop
Manhattan,Lincoln Square,1,40.77352889,-73.98533777,2,Italian Restaurant,Theater,French Restaurant,Plaza,Performing Arts Venue,Jazz Club,Coffee Shop,Indie Movie Theater,Sushi Restaurant,Gym / Fitness Center
Manhattan,Clinton,1,40.75910089,-73.99611936,2,Theater,Hotel,Gym / Fitness Center,Burger Joint,American Restaurant,Coffee Shop,Bar,Indie Theater,Bakery,Cocktail Bar
Manhattan,Midtown,1,40.7546911,-73.98166883,2,Theater,Coffee Shop,Gym,Plaza,Cuban Restaurant,Hotel,Sandwich Place,Steakhouse,Clothing Store,Japanese Restaurant
Manhattan,Murray Hill,1,40.74830308,-73.97833208,2,Korean Restaurant,Pizza Place,Coffee Shop,Japanese Restaurant,Gym / Fitness Center,Sandwich Place,Bakery,Grocery Store,Café,Bar
Manhattan,Chelsea,1,40.74403471,-74.00311633,2,Art Gallery,Italian Restaurant,Hotel,Gym / Fitness Center,Coffee Shop,Seafood Restaurant,Theater,Bakery,Deli / Bodega,Baseball Field
Manhattan,Greenwich Village,1,40.72693289,-73.99991403,2,Italian Restaurant,Seafood Restaurant,Spa,Café,Gym,Coffee Shop,Pizza Place,French Restaurant,Sushi Restaurant,Ice Cream Shop
Manhattan,East Village,1,40.72784678,-73.98222617,2,Wine Bar,Bar,Ice Cream Shop,Cocktail Bar,Coffee Shop,Japanese Restaurant,Seafood Restaurant,Pizza Place,Korean Restaurant,Garden
Manhattan,Lower East Side,1,40.71780675,-73.98089032,2,Italian Restaurant,Ice Cream Shop,Cocktail Bar,Coffee Shop,Café,Asian Restaurant,Sandwich Place,Japanese Restaurant,Wine Bar,Mexican Restaurant
Manhattan,Tribeca,1,40.72152197,-74.01068329,2,Park,Spa,American Restaurant,Coffee Shop,Hotel,Café,Men's Store,Sushi Restaurant,French Restaurant,Cocktail Bar
Manhattan,Little Italy,1,40.71932379,-73.99730467,2,Hotel,Thai Restaurant,Women's Store,Clothing Store,Art Gallery,Cosmetics Shop,Men's Store,Pilates Studio,Vegetarian / Vegan Restaurant,Paper / Office Supplies Store
Manhattan,Soho,1,40.72218384,-74.00065667,2,Italian Restaurant,French Restaurant,Clothing Store,Women's Store,Optical Shop,Coffee Shop,Gym,Spa,Thai Restaurant,Café
Manhattan,West Village,1,40.73443394,-74.00617998,2,Italian Restaurant,American Restaurant,Pizza Place,Japanese Restaurant,Wine Bar,New American Restaurant,Jazz Club,Park,Bakery,Garden
Manhattan,Manhattan Valley,1,40.79730704,-73.96428618,2,Coffee Shop,Park,Indian Restaurant,Grocery Store,Mexican Restaurant,Ice Cream Shop,Bar,Chinese Restaurant,Pizza Place,Farmers Market
Manhattan,Morningside Heights,1,40.80799974,-73.96389628,2,Coffee Shop,Italian Restaurant,Park,Chinese Restaurant,American Restaurant,Bookstore,Grocery Store,Playground,Bakery,Food Truck
Manhattan,Gramercy,1,40.73720983,-73.98137595,2,American Restaurant,New American Restaurant,Italian Restaurant,Mediterranean Restaurant,Juice Bar,Hotel,Café,Indian Restaurant,Wine Shop,Gym
Manhattan,Battery Park City,1,40.71193198,-74.01686931,2,Park,Coffee Shop,Wine Shop,Gym,Gym / Fitness Center,Plaza,Memorial Site,Performing Arts Venue,Food Court,Monument / Landmark
Manhattan,Financial District,1,40.70710711,-74.01066545,2,Coffee Shop,American Restaurant,Pizza Place,Hotel,Food Truck,Gym / Fitness Center,Gym,Wine Shop,Memorial Site,Café
Queens,Astoria,1,40.76850859,-73.91565374,2,Bar,Greek Restaurant,Bakery,Grocery Store,Pizza Place,Sandwich Place,Mediterranean Restaurant,Coffee Shop,Seafood Restaurant,Burger Joint
Queens,Woodside,1,40.74634909,-73.90184167,2,Indian Restaurant,Bakery,Food Truck,Grocery Store,Thai Restaurant,Latin American Restaurant,American Restaurant,Bar,Filipino Restaurant,Pub
Queens,Jackson Heights,1,40.75198138,-73.88282109,2,South American Restaurant,Mexican Restaurant,Bakery,Latin American Restaurant,Indian Restaurant,Thai Restaurant,Food Truck,Peruvian Restaurant,Grocery Store,Empanada Restaurant
Queens,Elmhurst,1,40.74404851,-73.88165622,2,Thai Restaurant,Bakery,Mexican Restaurant,South American Restaurant,Chinese Restaurant,Latin American Restaurant,Food Truck,Bubble Tea Shop,Indonesian Restaurant,Vietnamese Restaurant
